Year,Revenue,EBIT,Old TaxRate,Tax Rates,InvestedCapital,Old ROIC,ROIC,Net Income,Total Assets,Total Debt,CapEx,Depreciation,Company
2012,2470200,13300,0.28,0.284848485,1208600,0.007923217,0.007869862,11500,2241700,1456200,-53300,130700,Finnair
2013,2419100,11900,0.15,0.145522388,1088800,0.009290044,0.009338982,22600,2117600,1439600,-96400,140700,Finnair
2014,2302800,-36500,0.17,0,805100,-0.037628866,-0.045335983,-82700,1885100,1370800,-142100,135700,Finnair
2015,2461200,100500,0.21,0.208296558,128900,0.615942591,0.617270721,89400,2050300,1559000,-352500,148500,Finnair
2016,2392300,55200,0.2,0.195652174,1483200,0.029773463,0.029935275,85100,2528700,1671700,-475700,102900,Finnair
2017,2645400,170400,0.2,0.197536712,728700,0.187072869,0.187648887,169400,2887100,1871400,-393600,129200,Finnair
2018,2908300,169400,0.2,0.200954401,598800,0.226319305,0.226049306,150700,2947300,1925600,-317300,151100,Finnair
2019,3154100,162900,0.2,0.198924731,1448000,0.09,0.090120968,74500,3877900,2911500,-478300,325400,Finnair
2020,877600,-462500,0.2,0,2110700,-0.175297295,-0.219121618,-523200,3646500,2749900,-325400,335600,Finnair
2021,900900,-454400,0.2,0,1545300,-0.235242348,-0.294052935,-464300,4047100,3769400,-76300,317900,Finnair
2022,2510100,-200600,0.2,0,1312600,-0.122261161,-0.152826451,-476200,4133000,3722300,-88000,317100,Finnair
2023,3105600,178000,0.2,0,1516600,0.093894237,0.117367796,254300,3698000,3121000,-404200,332600,Finnair
2024,3176800,102200,0.2,0.197396963,1443600,0.056636187,0.05682047,37000,3721000,3093900,-233600,330300,Finnair
2012,1749753.8,100671,,0.267233757,844550,0.119200758,0.087346291,62136.67325,1621848.461,1292465.963,-78144.30362,52420.86988,Norwegian
2013,1917928.6,115642.97,,0.264796596,844933,0.136866438,0.100624671,38350.24046,1760628.622,1432679.826,-64778.017,63187.78269,Norwegian
2014,2166117.2,-91653.85,,0,1482842,-0.061809586,-0.061809586,-118588.9177,2517119.431,2283408.596,-552337.1769,82935.076,Norwegian
2015,2344917.064,85693.43364,0.27,0,2095194.256,0.029856996,0.040899995,25663.69893,3298158.666,2988996.545,-538158.4415,118156.0027,Norwegian
2016,2867439.475,136890.4574,0.25,0.247526243,2773416.781,0.037018541,0.037140641,124941.7497,4155981.203,3710369.903,-880513.4449,142612.4544,Norwegian
2017,3143152.541,-247231.4977,0.24,0,2466257.442,-0.076186669,-0.100245616,-182257.3161,4420228.046,4207110.857,-851259.5619,209316.0455,Norwegian
2018,4046761.539,-287103.9398,0.23,0,2931601.878,-0.075409296,-0.097934151,-146843.409,5626632.199,5455336.664,-1177370.373,167597.0631,Norwegian
2019,4412441.523,1044.259274,0.22,0,5839122.737,0.000139494,0.000178838,-163776.3525,8652438.328,8234237.835,-94388.87223,654689.7341,Norwegian
2020,868975.1904,-875844.2952,0.22,0,-178348.3278,3.830473538,4.91086351,-2202212.058,4734236.682,5367063.706,-1404.392768,592051.8654,Norwegian
2021,507310.8995,-355211.7282,0.22,0.00293177,405354.2021,-0.683513694,-0.873730499,187245.9524,1884512.137,1557209.616,-610.6390322,113468.7447,Norwegian
2022,1794227.525,-57461.15084,0.22,0.039178213,496079.0502,-0.090347894,-0.111292597,95610.10619,2155587.134,1755897.904,-2757.526683,133340.6782,Norwegian
2023,2272613.453,201737.7907,0.22,0.037088369,776722.9738,0.202588931,0.250096459,154557.9678,2718490.365,2204815.816,-44750.5337,314455.0328,Norwegian
2024,2995104.035,158800.6928,0.22,0.000221337,760267.3273,0.162922351,0.208828577,114921.6656,3188743.353,2574682.912,-92719.25095,407649.223,Norwegian
2012,4390200,683200,,0.114691943,3365300,0.203013104,0.179729137,560400,9001000,5694300,-317600,309200,RyanAir
2013,4884000,718200,,0.125364879,3211900,0.223605965,0.19557363,569300,8943000,5670400,-310700,329600,RyanAir
2014,5036700,658600,,0.115995942,3127700,0.210570067,0.186144794,522800,8812100,5526300,-505800,351800,RyanAir
2015,5654000,1042900,0.125,0.117772801,3670800,0.248593631,0.250646929,866700,12185400,8150300,-788500,377700,RyanAir
2016,6535800,1460100,0.125,0.094546722,3285300,0.388880011,0.402414492,1559100,11218300,7621500,-1217700,427300,RyanAir
2017,6647800,1534000,0.125,0.105012582,4537000,0.295845272,0.302603196,1315900,11989700,7566700,-1449800,497500,RyanAir
2018,7151000,1667300,0.125,0.099981381,4622400,0.315612561,0.324636778,1450200,12361800,7892900,-1470600,561000,RyanAir
2019,7697400,1016800,0.125,0.066554161,5664400,0.15706871,0.167560153,885000,13250700,8035800,-1546700,640500,RyanAir
2020,8494800,1127400,0.125,0.032224377,5242700,0.188161634,0.208112277,648700,14747200,9832700,-578800,748700,RyanAir
2021,1635800,-839400,0.125,0,6870600,-0.106901144,-0.122172736,-1015100,12328000,7681400,-294700,571000,RyanAir
2022,4800900,-339600,0.125,0,6940000,-0.042817003,-0.048933718,-240800,15149800,9604500,-1181600,719400,RyanAir
2023,10775200,1442600,0.125,0.089220104,5041000,0.250401706,0.26064096,1313800,16405900,10762900,-1914700,923200,RyanAir
2024,13443800,2060700,0.125,0.099107143,6202000,0.290730813,0.299334071,1917100,17175600,9561400,-2391900,1059500,RyanAir
2012,31831000,1526000,,0.070216049,6491000,0.235094747,0.218587322,1228000,28559000,23720000,-2412000,1867000,Lufthansa
2013,31052000,682000,,0.401834862,7447000,0.091580502,0.054780264,313000,29084000,22976000,-2483000,1763000,Lufthansa
2014,31013000,1125000,,0.583333333,6975000,0.161290323,0.067204301,55000,30474000,26443000,-2799000,1516000,Lufthansa
2015,33107000,1639000,0.2978,0.150049358,8735000,0.131757962,0.159481294,1698000,32462000,26617000,-2821000,1708000,Lufthansa
2016,32690000,2227000,0.2982,0.197953737,9445000,0.165474706,0.189111385,1776000,34697000,27548000,-2424000,1820000,Lufthansa
2017,36781000,3064000,0.2989,0.248258391,11485000,0.187041393,0.200551701,2340000,35778000,26668000,-3548000,2339000,Lufthansa
2018,36558000,2758000,0.299,0.211206897,11941000,0.16190922,0.1821867,2163000,38213000,28640000,-4097000,2201000,Lufthansa
2019,37213000,1620000,0.2994,0.330645161,16332000,0.069493755,0.066394492,1213000,42659000,32403000,-3717000,2837000,Lufthansa
2020,14454000,-7129000,0.2983,0,10655000,-0.469490314,-0.669075551,-6725000,39484000,38097000,-1249000,4552000,Lufthansa
2021,17780000,-2206000,0.2994,0,13105000,-0.117933888,-0.168332697,-2191000,42538000,38048000,-1318000,2255000,Lufthansa
2022,33437000,1162000,0.2993,0.234285714,14343000,0.056767301,0.062034442,791000,43335000,34861000,-2508000,2444000,Lufthansa
2023,38322000,2450000,0.2993,0.178501946,14107000,0.121692422,0.14267174,1673000,45321000,35612000,-4050000,2392000,Lufthansa
2024,38387000,1534000,0.2993,0.111675127,15308000,0.070216475,0.089018184,1380000,47052000,35458000,-3898000,2494000,Lufthansa
2012,659760,-7554,,0,71502,-0.105647394,-0.105647394,-10496,397158,243944,-1277,11822,Aegean Airlines
2013,709163,77689,,0.230649351,20196,3.846751832,2.95950102,57759,561356,348479,-1587,12086,Aegean Airlines
2014,921538,106240,,0.152271051,50256,2.113976441,1.792079027,80441,629966,410974,-13698,12551,Aegean Airlines
2015,1001790,97203,,0.318214442,38215,2.543582363,1.73417772,68394,668834,446860,-20236,14010,Aegean Airlines
2016,1034538,58854,,0.375750998,26947,2.184065017,1.363400407,32210,650761,406490,,17984,Aegean Airlines
2017,1141591,100403,,0.296322201,-38222,-2.626837947,-1.848447545,60365,681581,433641,-11136,19403,Aegean Airlines
2018,1204894,92686,,0.311434857,0,0,#DIV/0!,67918,725907,448029,-11742,18695,Aegean Airlines
2019,1328121,124813,,0.264267246,8123,15.36538225,11.30481499,78538,1333449,1005024,-18666,145963,Aegean Airlines
2020,418195,-210963,,0,-21969,9.602758432,9.602758432,-227907,1438521,1353114,,146150,Aegean Airlines
2021,774094,30054,,0,102457,0.293332813,0.293332813,4905,1540411,1326774,,149947,Aegean Airlines
2022,1355160,147776,,0.244358109,63440,2.329382093,1.76017869,108004,2020374,1672272,,127680,Aegean Airlines
2023,1724204,246828,,0.214921121,-62131,-3.972702838,-3.11888509,169967,2412667,1993835,-59722,153544,Aegean Airlines
2024,1805440,227132,,0.20745453,132944,1.708478758,1.3540471,129941,2874408,2375053,-118980,178185,Aegean Airlines
2012,25863000,-606000,,0,10540000,-0.057495256,-0.057495256,-1225000,26720000,23083000,-1465000,1748000,Air France - KLM
2013,25761000,-100000,,0,8474000,-0.011800802,-0.011800802,-1827000,25423000,23133000,-1186000,1735000,Air France - KLM
2014,25789000,806000,,8.863636364,5529000,0.145776813,-1.146335849,-225000,23241000,23894000,-1431000,1725000,Air France - KLM
2015,26033000,669000,,0.180722892,4705000,0.14218916,0.116492324,118000,23335000,23062000,-1628000,1632000,Air France - KLM
2016,25018000,1012000,,0.357229648,5685000,0.178012313,0.114421037,792000,22932000,21636000,-2072000,1665000,Air France - KLM
2017,25952000,396000,,0,7938000,0.049886621,0.049886621,163000,29963000,27543000,-2304000,2840000,Air France - KLM
2018,26263000,1419000,,0.354992076,7372000,0.192485079,0.124154401,420000,29637000,27839000,-2599000,2888000,Air France - KLM
2019,27245000,964000,,0.219653179,7520000,0.128191489,0.100033821,290000,30735000,28436000,-3039000,2987000,Air France - KLM
2020,11088000,-5344000,,0,4952000,-1.079159935,-1.079159935,-7100000,30181000,35523000,-1915000,2859000,Air France - KLM
2021,14323000,-2468000,,0,4068000,-0.606686332,-0.606686332,-3292000,30683000,34499000,-1961000,2371000,Air France - KLM
2022,26487000,1021000,,0,3666000,0.278505183,0.278505183,728000,32305000,34785000,-2634000,2422000,Air France - KLM
2023,30074000,1769000,,0.142981691,5437000,0.325363252,0.278842264,934000,34490000,33990000,-3372000,2496000,Air France - KLM
2024,31649000,1492000,,0.141891892,7827000,0.190622205,0.16357446,317000,36155000,35356000,-3517000,2643000,Air France - KLM
2012,766120,44202,,0.021900945,-22530,-1.961917443,-1.918949598,40998,353354,303349,-51282,17174,Wizz Air
2013,851311,37990,,0.131732795,27123,1.40065627,1.216143904,29258,456993,385755,-69914,19130,Wizz Air
2014,1011816,109784,,0.08019966,33045,3.322257528,3.055813603,87714,585165,425223,-135014,25386,Wizz Air
2015,1227300,167300,,0.044340115,11300,14.80530973,14.1488406,183200,1020500,560600,,33900,Wizz Air
2016,1429100,235500,,0.042204568,73700,3.195386703,3.060526787,192900,1331800,643000,-42700,28800,Wizz Air
2017,1571200,246800,,0.038311181,208700,1.182558697,1.137253477,246000,1696300,743800,-77700,57600,Wizz Air
2018,1948000,291900,,0.038448095,291100,1.002748196,0.964194439,275100,2142100,900200,-84100,90700,Wizz Air
2019,2326700,354300,,0.017571885,1708400,0.207387029,0.203742848,123000,3944400,2738300,-194900,336000,Wizz Air
2020,2761300,338300,,0.044202652,2065800,0.163762223,0.156523498,281100,4358100,3123300,-296900,381500,Wizz Air
2021,739000,-528100,,0,2563600,-0.205999376,-0.205999376,-572100,4722600,3818900,-250100,344900,Wizz Air
2022,1717700,-464300,,0,2992900,-0.155133817,-0.155133817,-631800,5356100,5092200,-136800,446300,Wizz Air
2023,4029600,-466900,,0,3027100,-0.154240032,-0.154240032,-523000,7034400,7392300,-164400,601100,Wizz Air
2024,5516500,437200,,0,5068400,0.086259964,0.086259964,376600,8694900,8549200,-338200,755300,Wizz Air
